id,acc_valid,time
10828,0.8144399998535157,0.004732370376586914
7397,0.2820799999572754,0.0041866302490234375
6201,0.29299999993896486,0.0032837390899658203
475,0.592879999987793,0.0039675235748291016
3894,0.5887199999511719,0.0039064884185791016
1424,0.8200799999023438,0.004235744476318359
8174,0.6617199997558594,0.0050144195556640625
1835,0.34331999990234374,0.005128622055053711
1986,0.8074799998291016,0.0036268234252929688
1986,0.8134800001464844,0.0042150020599365234
3839,0.530200000024414,0.004557371139526367
12364,0.6701999998779297,0.0037016868591308594
8954,0.7331999998535156,0.0032782554626464844
2694,0.7745999997070312,0.0038166046142578125
13176,0.5744799998901368,0.0044481754302978516
5717,0.6623999998046876,0.005686759948730469
5717,0.6623999998046876,0.005982875823974609
5044,0.6499599998535156,0.0050318241119384766
1568,0.7999199998291016,0.0027265548706054688
11025,0.5975599998535156,0.002438068389892578
243,0.7354400000976562,0.0024127960205078125
832,0.28987999996337893,0.002500295639038086
13176,0.5744799998901368,0.003412008285522461
7477,0.6693599997802734,0.003007650375366211
8867,0.7750800001708984,0.0026526451110839844
832,0.2750799999145508,0.004388093948364258
15157,0.593399999987793,0.00467228889465332
13210,0.3629999999023438,0.0028879642486572266
1986,0.8074799998291016,0.0026395320892333984
7893,0.5887199999511719,0.002514362335205078
12404,0.8240000001708984,0.002534151077270508
1802,0.5070400000610351,0.002354145050048828
7397,0.2820799999572754,0.0026988983154296875
4854,0.6165599997314453,0.002998828887939453
7481,0.6582799998535157,0.0025467872619628906
3559,0.8292799997802734,0.0023643970489501953
14707,0.5939999999511718,0.0026140213012695312
15163,0.6829600001953124,0.002345561981201172
475,0.592879999987793,0.002375364303588867
14010,0.7775599999023437,0.0026819705963134766
14498,0.6002799999755859,0.0023937225341796875
8631,0.6502399997314453,0.002818584442138672
3894,0.6002799999755859,0.0031898021697998047
9409,0.653320000024414,0.004657268524169922
14010,0.7775599999023437,0.003681659698486328
3207,0.511679999975586,0.0033898353576660156
1329,0.6002799999755859,0.0037584304809570312
11269,0.528040000012207,0.0037157535552978516
2299,0.35487999992675784,0.004960060119628906
3340,0.6983599997070313,0.005810737609863281
14133,0.7380000000488282,0.0031468868255615234
3559,0.8292799997802734,0.004036664962768555
10776,0.6492399998779297,0.003742694854736328
13135,0.6532800000732422,0.003052234649658203
2694,0.7733599999755859,0.0023691654205322266
12111,0.7694799999999999,0.002538442611694336
9837,0.6593599997558595,0.0024940967559814453
14075,0.6163599999511719,0.0023543834686279297
3681,0.7811999998535157,0.0026509761810302734
9409,0.653320000024414,0.0033550262451171875
5228,0.5362400000610351,0.0029158592224121094
14121,0.6386399999267578,0.0025031566619873047
8550,0.8093200001953125,0.0025207996368408203
5717,0.6623999998046876,0.002337217330932617
7045,0.7782400000732421,0.0032210350036621094
1802,0.5014799999389649,0.0029528141021728516
6223,0.6457200000000001,0.002939462661743164
8550,0.8093200001953125,0.002499818801879883
3028,0.8176800001220702,0.0024611949920654297
11558,0.8126799998779296,0.002487659454345703
5432,0.4048399999755859,0.0023632049560546875
11025,0.5975599998535156,0.002722501754760742
12111,0.7694799999999999,0.002374410629272461
1329,0.5887199999511719,0.0023603439331054688
9037,0.8144399997314453,0.002535581588745117
13176,0.5744799998901368,0.002393484115600586
7477,0.6693599997802734,0.0025568008422851562
432,0.29131999997558594,0.002547025680541992
7373,0.8144399998535157,0.0024785995483398438
5515,0.5236000000976563,0.0023670196533203125
5714,0.6358400000732423,0.002325773239135742
832,0.28987999996337893,0.0034186840057373047
11269,0.534400000036621,0.00485539436340332
5432,0.38376000006103517,0.0036644935607910156
3681,0.7811999998535157,0.003548145294189453
14010,0.7722000000244141,0.0038068294525146484
7481,0.6668400000244141,0.003724813461303711
13135,0.6532800000732422,0.005533456802368164
11558,0.8126799998779296,0.0035538673400878906
